,annual HP,flood extent,no. bare,no. crops,no. grass,no. forests,no. crops and grass,diversity,tile 1,tile 2,tile 3,tile 4,tile 5,tile 6,tile 7,tile 8,tile 9,tile 10,dist. forests,dist. grass,dist. crops,dist. bare,frac. forests,frac. grass,frac. crops,frac. bare
36,38.1612949394552,28.3193795720755,0,0,4,6,4,2,0,0,0,1,0,1,0,0,1,1,3.33333333333333,6.25,,,0.6,0.4,0,0
37,28.6672776312679,27.1607754247378,3,7,0,0,7,1,2,2,3,2,3,3,2,2,2,2,,,4.85714285714286,3.66666666666667,0,0,0.7,0.3
38,30.8667651150362,28.4889783207514,2,8,0,0,8,1,2,2,3,2,3,2,2,2,2,2,,,4.875,3,0,0,0.8,0.2
39,30.9631973956246,30.0969849143094,1,9,0,0,9,1,3,2,2,2,2,2,2,2,2,2,,,5,0,0,0,0.9,0.1
40,22.0646426844568,18.9154912790475,5,0,0,5,0,1,0,0,0,3,3,3,3,3,0,0,4,,,5,0.5,0,0,0.5
41,26.0392783616506,28.5382659507102,3,7,0,0,7,1,3,2,3,3,2,2,2,2,2,2,,,5.71428571428571,1.66666666666667,0,0,0.7,0.3
42,23.2611096307509,25.598229174788,3,3,0,4,3,2,3,0,3,3,0,2,2,0,0,2,5,,6.66666666666667,1.66666666666667,0.4,0,0.3,0.3
43,28.1748293956275,25.9393332535396,2,4,0,4,4,2,2,0,3,2,0,2,3,0,0,2,5,,4.25,4,0.4,0,0.4,0.2
44,48.9714227094362,30.9341930455674,2,0,8,0,8,1,1,1,3,1,1,3,1,1,1,1,,4.75,,3.5,0,0.8,0,0.2
45,48.4202615595859,30.9993682251766,2,0,8,0,8,1,1,1,3,3,1,1,1,1,1,1,,5,,2.5,0,0.8,0,0.2
46,37.8967428400058,27.9673250906057,1,1,3,5,4,3,1,0,1,0,0,2,3,0,0,1,4.6,3.66666666666667,5,6,0.5,0.3,0.1,0.1
47,33.723579417743,29.5392714751484,1,9,0,0,9,1,2,2,2,3,2,2,2,2,2,2,,,4.66666666666667,3,0,0,0.9,0.1
48,19.8155833731438,21.1443627240325,6,3,0,1,3,2,3,0,3,3,3,3,3,2,2,2,1,,8,3.33333333333333,0.1,0,0.3,0.6
49,42.2575318704646,30.6588190616253,3,0,7,0,7,1,1,3,1,1,3,3,1,1,1,1,,5,,3.33333333333333,0,0.7,0,0.3
50,28.7819733356659,29.2781293476661,2,8,0,0,8,1,3,2,2,2,2,3,2,2,2,2,,,5,2.5,0,0,0.8,0.2
51,26.454477584542,28.1989666778892,3,7,0,0,7,1,3,2,2,2,3,3,2,2,2,2,,,5.14285714285714,3,0,0,0.7,0.3
52,33.8739114746956,26.7413068575894,1,3,1,5,4,3,1,0,0,2,2,0,3,0,0,2,4.6,0,5.33333333333333,6,0.5,0.1,0.3,0.1
53,17.3783300110628,18.3018679139017,8,1,0,1,1,2,3,0,3,3,3,3,3,3,3,2,1,,9,4.375,0.1,0,0.1,0.8
54,19.6370267508694,23.5164390960311,6,4,0,0,4,1,3,3,2,3,3,3,3,2,2,2,,,6.5,3.16666666666667,0,0,0.4,0.6
55,30.357741321763,24.0758289055492,3,2,1,4,3,3,1,0,0,2,3,3,3,2,0,0,5,0,5,5,0.4,0.1,0.2,0.3
56,18.0473918988822,16.9016376899352,8,0,0,2,0,1,0,3,3,3,3,3,3,3,0,3,4,,,4.625,0.2,0,0,0.8
57,33.3840397262018,29.5711479516185,1,9,0,0,9,1,2,2,3,2,2,2,2,2,2,2,,,4.77777777777778,2,0,0,0.9,0.1
58,35.4644457543471,28.0173697935146,0,3,2,5,5,3,0,0,0,2,2,0,1,1,2,0,3.4,6.5,5,,0.5,0.2,0.3,0
59,25.0643125495213,25.7939930132167,4,6,0,0,6,1,2,3,3,3,3,2,2,2,2,2,,,5.83333333333333,2.5,0,0,0.6,0.4
60,33.0670423320414,27.015736998345,2,0,3,5,3,2,0,0,1,3,0,1,3,0,0,1,4,5.33333333333333,,4.5,0.5,0.3,0,0.2
61,49.8999292767368,30.9255393641205,2,0,8,0,8,1,1,1,1,3,1,3,1,1,1,1,,4.625,,4,0,0.8,0,0.2
62,17.9145435934709,18.8886973342724,7,1,0,2,1,2,3,0,3,3,3,3,3,3,0,2,4.5,,9,3.85714285714286,0.2,0,0.1,0.7
63,30.0777873510272,28.9265227768031,1,6,0,3,6,2,2,3,0,2,2,2,2,0,2,0,6,,4.33333333333333,1,0.3,0,0.6,0.1
64,34.712882221707,30.3491791746025,1,1,3,5,4,3,3,1,1,2,0,0,0,1,0,0,6.4,3.33333333333333,3,0,0.5,0.3,0.1,0.1
65,53.2877463179617,31.2999017829789,1,0,9,0,9,1,1,1,3,1,1,1,1,1,1,1,,4.77777777777778,,2,0,0.9,0,0.1
66,16.3800723833044,19.2903097506147,8,2,0,0,2,1,3,3,3,3,3,3,3,3,2,2,,,8.5,3.5,0,0,0.2,0.8
67,28.5857216908538,25.0541034687618,2,5,0,3,5,2,0,0,2,2,3,3,0,2,2,2,2.33333333333333,,5.8,4.5,0.3,0,0.5,0.2
68,35.4016556606486,28.6255132535741,1,1,3,5,4,3,2,0,1,3,0,0,0,0,1,1,4.6,6.33333333333333,0,3,0.5,0.3,0.1,0.1
69,18.3881571136762,17.3864789594012,7,0,0,3,0,1,0,3,3,3,3,3,3,3,0,0,5.66666666666667,,,4,0.3,0,0,0.7
70,33.8879352130355,28.3790631774422,0,3,1,6,4,3,2,0,0,0,1,0,0,2,2,0,4.33333333333333,4,5,,0.6,0.1,0.3,0
71,32.2715895834376,29.7263766945686,1,9,0,0,9,1,2,3,2,2,2,2,2,2,2,2,,,4.88888888888889,1,0,0,0.9,0.1
72,28.4072121234364,29.5605695004196,2,8,0,0,8,1,3,2,3,2,2,2,2,2,2,2,,,5.375,1,0,0,0.8,0.2
73,31.2846246679254,27.1546807734245,1,2,1,6,3,3,2,0,0,1,3,0,0,0,0,2,4.83333333333333,3,4.5,4,0.6,0.1,0.2,0.1
74,36.6178472646708,28.2929797489676,1,1,4,4,5,3,0,0,2,3,0,1,0,1,1,1,2.75,7.25,2,3,0.4,0.4,0.1,0.1
75,28.3866451590568,25.1553584555409,2,5,0,3,5,2,0,0,0,3,3,2,2,2,2,2,1,,7,3.5,0.3,0,0.5,0.2
76,28.5582535052721,25.4187180875178,3,2,1,4,3,3,0,0,0,3,0,2,2,3,1,3,1.75,8,5.5,6.33333333333333,0.4,0.1,0.2,0.3
77,29.85174469115,26.6740241256316,2,1,2,5,3,3,0,0,3,3,0,1,0,0,1,2,3.6,6.5,9,2.5,0.5,0.2,0.1,0.2
78,17.9492886612924,22.1522942997104,7,3,0,0,3,1,3,3,3,3,3,3,2,2,3,2,,,7.33333333333333,3.28571428571429,0,0,0.3,0.7
79,34.4788662768494,30.4621391968256,1,1,3,5,4,3,3,1,0,2,1,1,0,0,0,0,6.4,3.33333333333333,3,0,0.5,0.3,0.1,0.1
80,28.9230204305439,27.8065164743808,1,2,1,6,3,3,0,3,0,0,2,0,0,1,2,0,4.16666666666667,7,6,1,0.6,0.1,0.2,0.1
81,35.5040563459487,27.8481473453507,0,3,2,5,5,3,0,0,0,1,0,2,0,2,2,1,2.6,6,6.66666666666667,,0.5,0.2,0.3,0
82,23.5549562163775,21.2825647791935,4,2,0,4,2,2,0,0,3,3,3,0,3,2,2,0,3.75,,7.5,3.75,0.4,0,0.2,0.4
83,22.7277910035139,23.2766320112068,4,3,0,3,3,2,0,3,3,3,0,3,2,0,2,2,3.66666666666667,,7.66666666666667,2.75,0.3,0,0.3,0.4
84,21.329645381232,18.7598149401584,6,0,0,4,0,1,0,0,3,0,3,3,3,3,0,3,3,,,5.5,0.4,0,0,0.6
85,37.0118286829571,28.2589147891418,0,1,3,6,4,3,0,0,2,1,0,1,0,0,1,0,4.5,5.33333333333333,2,,0.6,0.3,0.1,0
86,15.39375053089,17.7814810847327,9,0,0,1,0,1,3,3,3,3,3,3,3,3,0,3,8,,,4.11111111111111,0.1,0,0,0.9
87,31.543317092538,24.6744043843184,3,1,2,4,3,3,1,0,0,0,3,3,3,2,0,1,3.5,4.5,7,5,0.4,0.2,0.1,0.3
88,24.9168861061757,26.7442166149619,2,2,0,6,2,2,3,0,2,2,0,0,0,0,3,0,5.33333333333333,,2.5,4,0.6,0,0.2,0.2
89,27.6395753422244,27.5168729688356,3,1,2,4,3,3,0,3,3,0,1,0,0,2,3,1,3.5,6.5,7,3.66666666666667,0.4,0.2,0.1,0.3
90,20.8483155521702,22.9841207030046,5,2,0,3,2,2,3,0,3,2,0,3,3,3,0,2,4.33333333333333,,6,4,0.3,0,0.2,0.5
91,27.5086784185265,27.441039317059,3,7,0,0,7,1,2,3,2,3,2,3,2,2,2,2,,,5.14285714285714,3,0,0,0.7,0.3
92,41.2612053680092,30.7152302441426,3,0,7,0,7,1,1,3,3,1,1,3,1,1,1,1,,5.28571428571429,,2.66666666666667,0,0.7,0,0.3
93,30.2531545333774,28.8462875645875,1,8,0,1,8,2,3,0,2,2,2,2,2,2,2,2,1,,5.5,0,0.1,0,0.8,0.1
94,45.9261622377602,31.0549614142969,2,0,8,0,8,1,1,3,1,1,3,1,1,1,1,1,,5,,2.5,0,0.8,0,0.2
95,30.8677627399404,27.1832948658036,1,2,1,6,3,3,2,0,0,0,3,0,1,0,0,2,4.33333333333333,6,4.5,4,0.6,0.1,0.2,0.1
96,36.9771122009097,28.1492852660315,1,0,4,5,4,2,0,0,0,1,0,1,3,0,1,1,2.8,6.25,,6,0.5,0.4,0,0.1
97,29.7613997822232,26.2486723005817,2,2,1,5,3,3,2,0,1,3,3,0,0,0,0,2,5.4,2,4.5,3.5,0.5,0.1,0.2,0.2
98,36.0432124201144,30.6303222202655,4,0,6,0,6,1,3,1,3,1,3,1,1,3,1,1,,5.33333333333333,,3.25,0,0.6,0,0.4
99,31.5137959195271,30.1407343311615,2,0,3,5,3,2,3,1,3,0,1,0,1,0,0,0,6.4,3.66666666666667,,1,0.5,0.3,0,0.2
100,25.4268272065385,23.1253802469568,3,3,0,4,3,2,0,0,3,2,3,3,0,2,0,2,3.75,,6.33333333333333,3.66666666666667,0.4,0,0.3,0.3
101,23.9746887569491,21.0598903943477,4,2,0,4,2,2,0,0,2,3,3,3,3,0,0,2,4,,5.5,4.5,0.4,0,0.2,0.4
102,28.4667908420347,27.2437451007669,3,7,0,0,7,1,2,2,3,3,3,2,2,2,2,2,,,5.14285714285714,3,0,0,0.7,0.3
103,32.0370924033161,26.9540636444095,0,5,0,5,5,2,0,0,0,2,2,2,2,0,2,0,3.8,,5.2,,0.5,0,0.5,0
104,36.7322133374599,28.1565981802276,1,0,4,5,4,2,0,0,1,3,0,1,0,0,1,1,3.6,6,,3,0.5,0.4,0,0.1
105,29.1757969481219,25.0178690216615,3,0,2,5,2,2,0,0,1,0,3,3,0,3,0,1,3.6,5.5,,5.33333333333333,0.5,0.2,0,0.3
106,20.0085089900978,19.5634843650072,6,2,0,2,2,2,0,3,3,3,3,3,3,2,0,2,4,,8,3.5,0.2,0,0.2,0.6
107,21.8812500150437,19.1896562734959,5,1,0,4,1,2,0,0,3,3,3,3,0,3,0,2,3.75,,9,4.2,0.4,0,0.1,0.5
108,33.4828290851079,27.4630127650298,0,4,1,5,5,3,0,0,0,2,0,0,1,2,2,2,2.4,6,6.75,,0.5,0.1,0.4,0
109,26.0665983096557,28.370635418322,3,7,0,0,7,1,3,2,3,2,3,2,2,2,2,2,,,5.57142857142857,2,0,0,0.7,0.3
110,37.5719724863108,28.0913838518399,1,0,4,5,4,2,0,0,1,1,0,0,3,0,1,1,3.4,5.5,,6,0.5,0.4,0,0.1
111,21.233435501803,26.2731135077318,4,3,0,3,3,2,3,3,3,2,0,2,3,0,2,0,6.66666666666667,,5.33333333333333,2.25,0.3,0,0.3,0.4
112,28.757627536715,26.0507103262753,3,1,2,4,3,3,0,0,3,3,0,1,3,1,0,2,3.25,6,9,3.66666666666667,0.4,0.2,0.1,0.3
113,27.5561982725999,28.7385753445675,3,0,2,5,2,2,3,1,3,0,1,0,3,0,0,0,6.4,2.5,,2.66666666666667,0.5,0.2,0,0.3
114,17.6464789640582,19.3583499217363,8,0,0,2,0,1,3,0,3,3,0,3,3,3,3,3,2.5,,,5,0.2,0,0,0.8
115,29.7373761089173,28.7083795279181,2,8,0,0,8,1,2,3,2,2,3,2,2,2,2,2,,,5,2.5,0,0,0.8,0.2
116,21.1767941193279,23.194633443396,6,0,1,3,1,2,3,0,3,0,0,3,3,3,1,3,2.66666666666667,8,,4.83333333333333,0.3,0.1,0,0.6
117,24.4744807120532,21.8394393412492,4,1,0,5,1,2,0,0,0,0,0,3,3,3,3,2,2,,9,6.5,0.5,0,0.1,0.4
118,50.1735026689384,31.4362140752383,1,0,9,0,9,1,1,3,1,1,1,1,1,1,1,1,,4.88888888888889,,1,0,0.9,0,0.1
119,22.9903449229949,27.4596799145824,4,6,0,0,6,1,3,3,3,2,2,3,2,2,2,2,,,6.16666666666667,2,0,0,0.6,0.4
120,29.0481310646891,25.3234315420831,2,3,1,4,4,3,0,0,2,3,0,3,0,2,2,1,2.75,9,5.66666666666667,4,0.4,0.1,0.3,0.2
121,17.672950389301,21.751211457525,6,1,0,3,1,2,3,3,3,3,0,3,3,0,2,0,6.66666666666667,,8,2.83333333333333,0.3,0,0.1,0.6
122,54.249442462737,31.2661205060221,1,0,9,0,9,1,1,1,1,3,1,1,1,1,1,1,,4.66666666666667,,3,0,0.9,0,0.1
123,25.5394961485929,26.4368017479994,3,2,1,4,3,3,3,0,0,2,0,0,3,3,2,1,3,9,5.5,4.33333333333333,0.4,0.1,0.2,0.3
